DTO Object,Field Name,Type,Requirement,Page,Component,Section Title,Data Source
UserContext,userId,Id (string),Required,Hub - Shared,c360Dashboard,Global header & sidebar,
UserContext,userName,string,Required,Hub - Shared,c360Dashboard,Global header & sidebar,
UserContext,userInitials,string,Optional,Hub - Shared,c360Dashboard,Global header & sidebar,
UserContext,role,string,Required,Hub - Shared,c360Dashboard,Global header & sidebar,
UserContext,segment,string,Optional,Hub - Shared,c360Dashboard,Global header & sidebar,
UserContext,pilotGroupId,string,Optional,Hub - Alert Centre,c360AlertCentre,Global header & sidebar,
UserContext,isPilotRm,boolean,Required,Hub - Alert Centre,c360AlertCentre,Global header & sidebar,
UserContext,managerVisibility,boolean,Optional,Hub - Alert Detail,c360AlertDetail,Global header & sidebar,
PortfolioScope,accountCount,integer,Required,Hub - Overview,c360Dashboard,Enterprise Account Hub,
PortfolioScope,asOfDate,date,Required,Hub - Overview,c360Dashboard,Enterprise Account Hub,
PortfolioScope,currency,string,Optional,Hub - Overview,c360Dashboard,Enterprise Account Hub,
DataProvenance,sourceChain,string,Required,Hub - Overview,c360AccountsTable,My accounts,
DataProvenance,refreshIntervalMinutes,integer,Required,Hub - Overview,c360AccountsTable,My accounts,
DataProvenance,lastRefreshedAt,datetime,Optional,Hub - Overview,c360AccountsTable,My accounts,
MOCK_ACCOUNT_IDS,(collection),object map,Required,Hub - Shared,c360Dashboard,Navigation (account links),
MOCK_ACCOUNT_IDS,accountName → salesforceId,Id,Required,Hub - Shared,c360Dashboard,Navigation (account links),
MaterialChangeBanner,message,string,Required,Hub - Overview,c360MaterialBanner,Material changes banner,
MaterialChangeBanner,accountsMovedToAtRisk,integer,Optional,Hub - Overview,c360MaterialBanner,Material changes banner,
MaterialChangeBanner,newChurnSignals,integer,Optional,Hub - Overview,c360MaterialBanner,Material changes banner,
MaterialChangeBanner,crossSellPipelineDelta,Money,Optional,Hub - Overview,c360MaterialBanner,Material changes banner,
KPI_TILES,(collection),KpiTile[],Required,Hub - Overview,c360KpiStrip,KPI strip,
KpiTile,label,string,Required,Hub - Overview,c360KpiTile,KPI strip,
KpiTile,value,string,Required,Hub - Overview,c360KpiTile,KPI strip,
KpiTile,detail,string,Optional,Hub - Overview,c360KpiTile,KPI strip,
KpiTile,attention,boolean,Optional,Hub - Overview,c360KpiTile,KPI strip,
KpiTile,variant,enum (default|attention),Optional,Hub - Overview,c360KpiTile,KPI strip,
PortfolioSummary,totalAccounts,integer,Required,Hub - Overview,c360KpiStrip,Total accounts,
PortfolioSummary,compositeHealthIndex,decimal,Required,Hub - Overview,c360KpiStrip,Composite health index,
PortfolioSummary,healthIndexDelta,decimal,Optional,Hub - Overview,c360KpiStrip,Composite health index,
PortfolioSummary,signalsToAction,integer,Required,Hub - Overview,c360KpiStrip,Signals to action,
PortfolioSummary,signalsChurnCount,integer,Optional,Hub - Overview,c360KpiStrip,Signals to action,
PortfolioSummary,signalsCrossSellCount,integer,Optional,Hub - Overview,c360KpiStrip,Signals to action,
PortfolioSummary,atRiskAccounts,integer,Required,Hub - Overview,c360KpiStrip,At-risk accounts,
PortfolioSummary,revenueAtRisk,Money|string,Required,Hub - Overview,c360KpiStrip,Revenue at risk,
PortfolioSummary,revenueAtRiskDelta,decimal,Optional,Hub - Overview,c360KpiStrip,Revenue at risk,
NEEDS_ACTION_ITEMS,(collection),NeedsActionItem[],Required,Hub - Overview,c360NeedsAction,Needs action today,
NeedsActionItem,id,string,Required,Hub - Overview,c360NeedsAction,Needs action today,
NeedsActionItem,severity,enum (now|day|month),Required,Hub - Overview,c360NeedsAction,Needs action today,
NeedsActionItem,severityLabel,string,Required,Hub - Overview,c360NeedsAction,Needs action today,
NeedsActionItem,heading,string,Required,Hub - Overview,c360NeedsAction,Needs action today,
NeedsActionItem,body,string,Required,Hub - Overview,c360NeedsAction,Needs action today,
NeedsActionItem,meta,string,Optional,Hub - Overview,c360NeedsAction,Needs action today,
NeedsActionItem,accountId,Id,Required (prod),Hub - Overview,c360NeedsAction,Needs action today,
NeedsActionItem,accountName,string,Required,Hub - Overview,c360NeedsAction,Needs action today,
NeedsActionItem,buttonLabel,string,Optional,Hub - Overview,c360NeedsAction,Needs action today,
NeedsActionItem,primary,boolean,Optional,Hub - Overview,c360NeedsAction,Needs action today,
NeedsActionItem,sourceView,enum (accounts|churn|crosssell),Optional,Hub - Overview,c360NeedsAction,Needs action today,
PORTFOLIO_HEALTH,(collection),PortfolioHealth,Required,Hub - Overview,c360PortfolioHealth,Portfolio health,
PortfolioHealth,healthy,integer,Required,Hub - Overview,c360PortfolioHealth,Portfolio health,
PortfolioHealth,watch,integer,Required,Hub - Overview,c360PortfolioHealth,Portfolio health,
PortfolioHealth,atRisk,integer,Required,Hub - Overview,c360PortfolioHealth,Portfolio health,
PortfolioHealth,pipeline,PipelineBar[],Required,Hub - Overview,c360PortfolioHealth,Portfolio health,
PipelineBar,name,string,Required,Hub - Overview,c360PortfolioHealth,Portfolio health — cross-sell pipeline,
PipelineBar,detail,string,Optional,Hub - Overview,c360PortfolioHealth,Portfolio health — cross-sell pipeline,
PipelineBar,value,Money|string,Required,Hub - Overview,c360PortfolioHealth,Portfolio health — cross-sell pipeline,
PipelineBar,width,string,Optional,Hub - Overview,c360PortfolioHealth,Portfolio health — cross-sell pipeline,
PipelineBar,productCode,string,Optional,Hub - Overview,c360PortfolioHealth,Portfolio health — cross-sell pipeline,
PipelineBar,opportunityCount,integer,Optional,Hub - Overview,c360PortfolioHealth,Portfolio health — cross-sell pipeline,
SIGNALS,(collection),Signal[],Required,Hub - Overview,c360MySignals,My signals,
Signal,id,string,Required,Hub - Overview,c360SignalList,My signals,
Signal,category,enum (Cross-sell|Churn|FX),Required,Hub - Overview,c360SignalList,My signals,
Signal,badgeClass,string,Optional,Hub - Overview,c360SignalList,My signals,
Signal,title,string,Required,Hub - Overview,c360SignalList,My signals,
Signal,description,string,Required,Hub - Overview,c360SignalList,My signals,
Signal,signalStatus,enum (open|actioned|dismissed),Required,Hub - Overview,c360SignalList,My signals,
Signal,accountId,Id,Optional,Hub - Overview,c360SignalList,My signals,
Signal,accountName,string,Optional,Hub - Overview,c360SignalList,My signals,
Signal,severity,enum,Optional,Hub - Overview,c360SignalList,My signals,
Signal,impactRevenue,Money,Optional,Hub - Overview,c360SignalList,My signals,
Signal,triggeredAt,datetime,Optional,Hub - Overview,c360SignalList,My signals,
ACCOUNTS,(collection),Account[],Required,Hub - Overview,c360AccountsTable,My accounts,
Account,id,string,Required,Hub - Overview,c360AccountsTable,My accounts,
Account,salesforceId,Id,Required (prod),Hub - Overview,c360AccountsTable,My accounts,
Account,name,string,Required,Hub - Overview,c360AccountsTable,My accounts,
Account,industry,string,Required,Hub - Overview,c360AccountsTable,My accounts,
Account,volume,string,Required,Hub - Overview,c360AccountsTable,My accounts,
Account,healthIndex,decimal,Required,Hub - Overview,c360AccountsTable,My accounts,
Account,healthDelta,string,Required,Hub - Overview,c360AccountsTable,My accounts,
Account,health,enum (Healthy|Watch|At risk),Required,Hub - Overview,c360AccountsTable,My accounts,
Account,healthClass,string,Optional,Hub - Overview,c360AccountsTable,My accounts,
Account,risk,enum (Low|Medium|High),Required,Hub - Overview,c360AccountsTable,My accounts,
Account,riskClass,string,Optional,Hub - Overview,c360AccountsTable,My accounts,
Account,crossSell,string,Optional,Hub - Overview,c360AccountsTable,My accounts,
Account,lastActivityAt,datetime,Optional,Hub - Overview,c360AccountsTable,My accounts,
ALERTS,(collection),Alert[],Required,Hub - Alert Centre,c360AlertCentre,Active alerts,
Alert,id,string,Required,Hub - Alert Centre,c360AlertCentre,Active alerts,
Alert,accountId,Id,Required (prod),Hub - Alert Centre,c360AlertCentre,Active alerts,
Alert,account,string,Required,Hub - Alert Centre,c360AlertCentre,Active alerts,
Alert,score,decimal,Required,Hub - Alert Centre,c360AlertCentre,Active alerts,
Alert,alertDate,date|string,Required,Hub - Alert Centre,c360AlertCentre,Active alerts,
Alert,suppression,string,Required,Hub - Alert Centre,c360AlertCentre,Active alerts,
Alert,rmNotification,string,Required,Hub - Alert Centre,c360AlertCentre,Active alerts,
Alert,email,string,Optional,Hub - Alert Centre,c360AlertCentre,Active alerts,
Alert,status,enum,Required,Hub - Alert Centre,c360AlertCentre,Active alerts,
Alert,severity,enum,Optional,Hub - Alert Centre,c360AlertCentre,Active alerts,
Alert,revenueAtRisk,Money|string,Optional,Hub - Alert Centre,c360AlertCentre,Active alerts,
ALERT_STATUS_OPTIONS,(collection),string[],Optional,Hub - Alert Centre,c360AlertCentre,Active alerts — status filters,
ALERT_INTEL,(collection),object map,Required,Hub - Alert Centre,c360AlertCentre,Cross-selling intelligence,
CrossSellIntelligencePanel,pipelineValue,Money,Required,Hub - Alert Centre,c360AlertCentre,Cross-selling intelligence,
CrossSellIntelligencePanel,averageConfidence,decimal,Required,Hub - Alert Centre,c360AlertCentre,Cross-selling intelligence,
CrossSellIntelligencePanel,opportunities,CrossSellIntelRow[],Required,Hub - Alert Centre,c360AlertCentre,Cross-selling intelligence,
CrossSellIntelRow,accountName,string,Required,Hub - Alert Centre,c360AlertCentre,Cross-selling intelligence,
CrossSellIntelRow,suggestedProduct,string,Required,Hub - Alert Centre,c360AlertCentre,Cross-selling intelligence,
CrossSellIntelRow,confidencePercent,decimal,Required,Hub - Alert Centre,c360AlertCentre,Cross-selling intelligence,
ALERT_DETAIL_BY_ID,(collection),object map,Required,Hub - Alert Detail,c360AlertDetail,Alert detail,
AlertDetail,id,string,Required,Hub - Alert Detail,c360AlertDetail,Alert detail — header,
AlertDetail,accountId,Id,Required (prod),Hub - Alert Detail,c360AlertDetail,Alert detail — header,
AlertDetail,account,string,Required,Hub - Alert Detail,c360AlertDetail,Alert detail — header,
AlertDetail,score,decimal,Required,Hub - Alert Detail,c360AlertDetail,Alert detail — header,
AlertDetail,arr,Money|string,Required,Hub - Alert Detail,c360AlertDetail,Alert detail — header,
AlertDetail,merchantCount,integer,Required,Hub - Alert Detail,c360AlertDetail,Alert detail — header,
AlertDetail,trajectory,decimal[],Required,Hub - Alert Detail,c360AlertDetail,6-month score trajectory,
AlertDetail,drivers,Driver[],Required,Hub - Alert Detail,c360AlertDetail,Top drivers,
Driver,label,string,Required,Hub - Alert Detail,c360AlertDetail,Top drivers,
Driver,impact,string,Required,Hub - Alert Detail,c360AlertDetail,Top drivers,
Driver,width,string,Optional,Hub - Alert Detail,c360AlertDetail,Top drivers,
AlertCrossSellIntel,pipeline,Money|string,Required,Hub - Alert Detail,c360AlertDetail,Cross-sell intelligence,
AlertCrossSellIntel,confidence,decimal,Required,Hub - Alert Detail,c360AlertDetail,Cross-sell intelligence,
AlertCrossSellIntel,products,string[],Required,Hub - Alert Detail,c360AlertDetail,Cross-sell intelligence,
AlertOutcome,interactionDate,date,Required (write),Hub - Alert Detail,c360AlertDetail,Record outcome,
AlertOutcome,interactionType,enum,Required (write),Hub - Alert Detail,c360AlertDetail,Record outcome,
AlertOutcome,outcome,enum,Required (write),Hub - Alert Detail,c360AlertDetail,Record outcome,
AlertOutcome,followUpActions,string,Optional (write),Hub - Alert Detail,c360AlertDetail,Record outcome,
CROSS_SELL_ROWS,(collection),CrossSellOpportunity[],Required,Hub - Cross-Sell,c360CrossSellTable,Open cross-sell opportunities,
CrossSellOpportunity,accountId,Id,Required (prod),Hub - Cross-Sell,c360CrossSellTable,Open cross-sell opportunities,
CrossSellOpportunity,account,string,Required,Hub - Cross-Sell,c360CrossSellTable,Open cross-sell opportunities,
CrossSellOpportunity,product,string,Required,Hub - Cross-Sell,c360CrossSellTable,Open cross-sell opportunities,
