DTO Object,Field Name,Type,Requirement,Page,Component,Section Title,Data Source
UserContext,userId,Id (string),Required,Hub - Shared,c360DashboardEx05,Global header & sidebar,
UserContext,userName,string,Required,Hub - Shared,c360DashboardEx05,Global header & sidebar,
UserContext,userInitials,string,Optional,Hub - Shared,c360DashboardEx05,Global header & sidebar,
UserContext,role,string,Required,Hub - Shared,c360DashboardEx05,Global header & sidebar,
UserContext,segment,string,Optional,Hub - Shared,c360DashboardEx05,Global header & sidebar,
UserContext,pilotGroupId,string,Optional,Hub - Alert Centre,c360AlertCentreEx05,Global header & sidebar,
UserContext,isPilotRm,boolean,Required,Hub - Alert Centre,c360AlertCentreEx05,Global header & sidebar,
UserContext,managerVisibility,boolean,Optional,Hub - Alert Detail,c360AlertDetailEx05,Global header & sidebar,
PortfolioScope,accountCount,integer,Required,Hub - Overview,c360DashboardEx05,Enterprise Account Hub,
PortfolioScope,asOfDate,date,Required,Hub - Overview,c360DashboardEx05,Enterprise Account Hub,
PortfolioScope,currency,string,Optional,Hub - Overview,c360DashboardEx05,Enterprise Account Hub,
DataProvenance,sourceChain,string,Required,Hub - Overview,c360AccountsTableEx05,My accounts,
DataProvenance,refreshIntervalMinutes,integer,Required,Hub - Overview,c360AccountsTableEx05,My accounts,
DataProvenance,lastRefreshedAt,datetime,Optional,Hub - Overview,c360AccountsTableEx05,My accounts,
MOCK_ACCOUNT_IDS,(collection),object map,Required,Hub - Shared,c360DashboardEx05,Navigation (account links),
MOCK_ACCOUNT_IDS,accountName → salesforceId,Id,Required,Hub - Shared,c360DashboardEx05,Navigation (account links),
MaterialChangeBanner,message,string,Required,Hub - Overview,c360MaterialBannerEx05,Material changes banner,
MaterialChangeBanner,accountsMovedToAtRisk,integer,Optional,Hub - Overview,c360MaterialBannerEx05,Material changes banner,
MaterialChangeBanner,newChurnSignals,integer,Optional,Hub - Overview,c360MaterialBannerEx05,Material changes banner,
MaterialChangeBanner,crossSellPipelineDelta,Money,Optional,Hub - Overview,c360MaterialBannerEx05,Material changes banner,
KPI_TILES,(collection),KpiTile[],Required,Hub - Overview,c360KpiStripEx05,KPI strip,
KpiTile,label,string,Required,Hub - Overview,c360KpiTileEx05,KPI strip,
KpiTile,value,string,Required,Hub - Overview,c360KpiTileEx05,KPI strip,
KpiTile,detail,string,Optional,Hub - Overview,c360KpiTileEx05,KPI strip,
KpiTile,attention,boolean,Optional,Hub - Overview,c360KpiTileEx05,KPI strip,
KpiTile,variant,enum (default|attention),Optional,Hub - Overview,c360KpiTileEx05,KPI strip,
PortfolioSummary,totalAccounts,integer,Required,Hub - Overview,c360KpiStripEx05,Total accounts,
PortfolioSummary,compositeHealthIndex,decimal,Required,Hub - Overview,c360KpiStripEx05,Composite health index,
PortfolioSummary,healthIndexDelta,decimal,Optional,Hub - Overview,c360KpiStripEx05,Composite health index,
PortfolioSummary,signalsToAction,integer,Required,Hub - Overview,c360KpiStripEx05,Signals to action,
PortfolioSummary,signalsChurnCount,integer,Optional,Hub - Overview,c360KpiStripEx05,Signals to action,
PortfolioSummary,signalsCrossSellCount,integer,Optional,Hub - Overview,c360KpiStripEx05,Signals to action,
PortfolioSummary,atRiskAccounts,integer,Required,Hub - Overview,c360KpiStripEx05,At-risk accounts,
PortfolioSummary,revenueAtRisk,Money|string,Required,Hub - Overview,c360KpiStripEx05,Revenue at risk,
PortfolioSummary,revenueAtRiskDelta,decimal,Optional,Hub - Overview,c360KpiStripEx05,Revenue at risk,
NEEDS_ACTION_ITEMS,(collection),NeedsActionItem[],Required,Hub - Overview,c360NeedsActionEx05,Needs action today,
NeedsActionItem,id,string,Required,Hub - Overview,c360NeedsActionEx05,Needs action today,
NeedsActionItem,severity,enum (now|day|month),Required,Hub - Overview,c360NeedsActionEx05,Needs action today,
NeedsActionItem,severityLabel,string,Required,Hub - Overview,c360NeedsActionEx05,Needs action today,
NeedsActionItem,heading,string,Required,Hub - Overview,c360NeedsActionEx05,Needs action today,
NeedsActionItem,body,string,Required,Hub - Overview,c360NeedsActionEx05,Needs action today,
NeedsActionItem,meta,string,Optional,Hub - Overview,c360NeedsActionEx05,Needs action today,
NeedsActionItem,accountId,Id,Required (prod),Hub - Overview,c360NeedsActionEx05,Needs action today,
NeedsActionItem,accountName,string,Required,Hub - Overview,c360NeedsActionEx05,Needs action today,
NeedsActionItem,buttonLabel,string,Optional,Hub - Overview,c360NeedsActionEx05,Needs action today,
NeedsActionItem,primary,boolean,Optional,Hub - Overview,c360NeedsActionEx05,Needs action today,
NeedsActionItem,sourceView,enum (accounts|churn|crosssell),Optional,Hub - Overview,c360NeedsActionEx05,Needs action today,
PORTFOLIO_HEALTH,(collection),PortfolioHealth,Required,Hub - Overview,c360PortfolioHealthEx05,Portfolio health,
PortfolioHealth,healthy,integer,Required,Hub - Overview,c360PortfolioHealthEx05,Portfolio health,
PortfolioHealth,watch,integer,Required,Hub - Overview,c360PortfolioHealthEx05,Portfolio health,
PortfolioHealth,atRisk,integer,Required,Hub - Overview,c360PortfolioHealthEx05,Portfolio health,
PortfolioHealth,pipeline,PipelineBar[],Required,Hub - Overview,c360PortfolioHealthEx05,Portfolio health,
PipelineBar,name,string,Required,Hub - Overview,c360PortfolioHealthEx05,Portfolio health — cross-sell pipeline,
PipelineBar,detail,string,Optional,Hub - Overview,c360PortfolioHealthEx05,Portfolio health — cross-sell pipeline,
PipelineBar,value,Money|string,Required,Hub - Overview,c360PortfolioHealthEx05,Portfolio health — cross-sell pipeline,
PipelineBar,width,string,Optional,Hub - Overview,c360PortfolioHealthEx05,Portfolio health — cross-sell pipeline,
PipelineBar,productCode,string,Optional,Hub - Overview,c360PortfolioHealthEx05,Portfolio health — cross-sell pipeline,
PipelineBar,opportunityCount,integer,Optional,Hub - Overview,c360PortfolioHealthEx05,Portfolio health — cross-sell pipeline,
SIGNALS,(collection),Signal[],Required,Hub - Overview,c360MySignalsEx05,My signals,
Signal,id,string,Required,Hub - Overview,c360SignalListEx05,My signals,
Signal,category,enum (Cross-sell|Churn|FX),Required,Hub - Overview,c360SignalListEx05,My signals,
Signal,badgeClass,string,Optional,Hub - Overview,c360SignalListEx05,My signals,
Signal,title,string,Required,Hub - Overview,c360SignalListEx05,My signals,
Signal,description,string,Required,Hub - Overview,c360SignalListEx05,My signals,
Signal,signalStatus,enum (open|actioned|dismissed),Required,Hub - Overview,c360SignalListEx05,My signals,
Signal,accountId,Id,Optional,Hub - Overview,c360SignalListEx05,My signals,
Signal,accountName,string,Optional,Hub - Overview,c360SignalListEx05,My signals,
Signal,severity,enum,Optional,Hub - Overview,c360SignalListEx05,My signals,
Signal,impactRevenue,Money,Optional,Hub - Overview,c360SignalListEx05,My signals,
Signal,triggeredAt,datetime,Optional,Hub - Overview,c360SignalListEx05,My signals,
ACCOUNTS,(collection),Account[],Required,Hub - Overview,c360AccountsTableEx05,My accounts,
Account,id,string,Required,Hub - Overview,c360AccountsTableEx05,My accounts,
Account,salesforceId,Id,Required (prod),Hub - Overview,c360AccountsTableEx05,My accounts,
Account,name,string,Required,Hub - Overview,c360AccountsTableEx05,My accounts,
Account,industry,string,Required,Hub - Overview,c360AccountsTableEx05,My accounts,
Account,volume,string,Required,Hub - Overview,c360AccountsTableEx05,My accounts,
